,Unnamed: 0,Date,Location,Entity/ies met,Subject(s)
0,0,03/09/2021,Allianz SE (Allianz Group),Allianz SE (Allianz Group),Meeting with CEO of Allianz
1,1,29/08/2021,European Round Table for Industry (ERT),European Round Table for Industry (ERT),"Dinner/ meeting with the ERT members on green and digital transition, competitiveness and reskilling."
2,2,25/08/2021,Siemens AG (SAG),Siemens AG (SAG),"Videoconference with Chairman of Volvo, Chairman of Siemens and Maersk, CEO of Air Liquide"
3,3,25/08/2021,Volvo AB (Volvo Group), Volvo AB (Volvo Group),"Videoconference with Chairman of Volvo, Chairman of Siemens and Maersk, CEO of Air Liquide"
4,4,25/08/2021,A.P. Møller - Mærsk A/S (APMM),A.P. Møller - Mærsk A/S (APMM),"Videoconference with Chairman of Volvo, Chairman of Siemens and Maersk, CEO of Air Liquide"
5,5,25/08/2021,AIR LIQUIDE (AIR LIQUIDE), AIR LIQUIDE (AIR LIQUIDE),"Videoconference with Chairman of Volvo, Chairman of Siemens and Maersk, CEO of Air Liquide"
6,6,19/07/2021,Bill & Melinda Gates Foundation (BMGF),Bill & Melinda Gates Foundation (BMGF),Meeting with Co-chairman and co-founder of the Bill & Melinda Gates Foundation
7,7,09/07/2021,Global Citizen,Global Citizen,Meeting with the CEO from Global Citizen
8,8,24/04/2021,Potsdam-Institut für Klimafolgenforschung (PIK),Potsdam-Institut für Klimafolgenforschung (PIK),Meeting with Founding Director of the Potsdam Institute for Climate Impact Research (PIK)
9,9,29/03/2021,Siemens AG (SAG),Siemens AG (SAG),"Videoconference with Chairman of Volvo, Chairman of Siemens and Maersk, CEO of Air Liquide"
10,10,29/03/2021,Volvo AB (Volvo Group), Volvo AB (Volvo Group),"Videoconference with Chairman of Volvo, Chairman of Siemens and Maersk, CEO of Air Liquide"
11,11,29/03/2021,A.P. Møller - Mærsk A/S (APMM), A.P. Møller - Mærsk A/S (APMM),"Videoconference with Chairman of Volvo, Chairman of Siemens and Maersk, CEO of Air Liquide"
12,12,29/03/2021,AIR LIQUIDE (AIR LIQUIDE), AIR LIQUIDE (AIR LIQUIDE),"Videoconference with Chairman of Volvo, Chairman of Siemens and Maersk, CEO of Air Liquide"
13,13,19/03/2021,Bundesverband der Deutschen Industrie e.V. (BDI),Bundesverband der Deutschen Industrie e.V. (BDI),Meeting with BDI President
14,14,20/02/2021,Global Citizen,Global Citizen,Meeting with the CEO from Global Citizen
15,15,19/02/2021,Siemens AG (SAG),Siemens AG (SAG),"Meeting with Chairman of Volvo, Chairman of Siemens and Maersk, CEO of Air Liquide"
